Name,id,lat,long
Koria,478,60.847067,26.60131
Korkeakoski,193,61.807686,24.375464
Korso,19,60.350692,25.078125
Korvensuo,1128,60.582687,25.218194
Koskenkorva,274,62.688028,22.462393
Kotka asema,532,60.464388,26.928611
Kotka Hovinsaari,980,60.483022,26.919254
Kotka Mussalo,557,60.431802,26.89751
Kotka tavara,1130,60.478803,26.919356
Kotkan satama,644,60.466492,26.934952
Kotolahti,1329,60.445244,26.898503
Kouvola asema,480,60.865613,26.704588
Kouvola lajittelu,1132,60.865734,26.723643
Kouvola Oikoraide,1133,60.86715,26.764691
Kouvola tavara,1134,60.86857,26.750447
Kovjoki,745,63.521231,22.69252
Kruunupyy,311,63.7216,23.034045
Kuivasjärvi,1137,62.174449,23.036413
Kullasvaara,1320,60.872249,26.809881
Kuopio asema,408,62.897218,27.679581
Kuopio tavara,1139,62.897796,27.697282
Kupittaa,126,60.450274,22.297114
Kurkimäki,406,62.771886,27.517621
Kuurila,626,61.133691,23.994903
Kuusankoski,537,60.921019,26.656252
Kylänlahti,937,63.3614,29.751617
Kymi,534,60.539229,26.90714
Kyminlinna,981,60.508258,26.895812
Kyrä,139,60.702716,22.748862
Kytämaa,1111,60.425639,25.110001
Kälviä,316,63.863974,23.493255
Käpylä,977,60.22017,24.946034
Käykkäri,1144,63.343804,22.772334
Laajavuori,1341,60.282453,24.851146
Lahdenperä,1149,61.811782,24.944751
Lahnaslampi,871,64.120658,28.072026
Lahti,100,60.97647,25.657397
Laihia,293,62.990138,22.003444
Lakiala,212,61.625873,23.526965
Lamminkoski,1151,62.107789,23.061226
Lamminniemi,845,64.232062,27.702541
Lapinjärvi,108,60.599097,26.127856
Lapinlahti,416,63.360666,27.393552
Lapinneva,683,61.980556,22.935238
Lappeenranta,495,61.047973,28.195304
Lappila,94,60.848954,25.17423
Lappohja,75,59.904082,23.236919
Lapua,298,62.971338,23.015112
Larvakytä,1153,62.680182,22.935915
Laukaa,249,62.422807,25.924359
Laurila,360,65.796833,24.534062
Lauritsala,498,61.066415,28.259631
Lautiosaari,829,65.77909,24.565179
Leinelä,1333,60.322613,25.039847
Lelkola,993,61.526751,26.966496
Lempäälä,156,61.314233,23.755094
Lentoasema,1332,60.315732,24.968343
Leppäkoski,43,60.87288,24.695884
Leppävaara,68,60.21948,24.813541
Leteensuo,1154,61.065513,24.232505
Lieksa,468,63.318195,30.016394
Lieksan teollisuuskylä,1157,63.314174,30.064649
Lielahti,183,61.510284,23.6817
Lievestuore,246,62.259872,26.195893
Liminka,338,64.810176,25.423892
Liminpuro,1354,64.542949,27.231377
Lohiluoma,1159,62.533667,22.280376
Lohja,81,60.265369,24.116408
Loimaa,142,60.847378,23.060408
Louhela,661,60.270798,24.853299
Loukolampi,861,62.162673,27.203502
